# 2022-02-10, 15:16:28.727629
# fs = 1000 Hz, N = 100
# NI 9201, 17.0.0
t,ai0
0.000000000,0.496955320
0.001000000,0.486674424
0.002000000,0.481533976
0.003000000,0.460972184
0.004000000,0.430129496
0.005000000,0.394146360
0.006000000,0.358163224
0.007000000,0.306758744
0.008000000,0.255354264
0.009000000,0.198809336
0.010000000,0.147404856
0.011000000,0.085719480
0.012000000,0.018893656
0.013000000,-0.042791720
0.014000000,-0.099336648
0.015000000,-0.166162472
0.016000000,-0.222707400
0.017000000,-0.274111880
0.018000000,-0.325516360
0.019000000,-0.371780392
0.020000000,-0.412903976
0.021000000,-0.438606216
0.022000000,-0.469448904
0.023000000,-0.490010696
0.024000000,-0.500291592
0.025000000,-0.500291592
0.026000000,-0.500291592
0.027000000,-0.484870248
0.028000000,-0.464308456
0.029000000,-0.433465768
0.030000000,-0.402623080
0.031000000,-0.366639944
0.032000000,-0.315235464
0.033000000,-0.263830984
0.034000000,-0.207286056
0.035000000,-0.145600680
0.036000000,-0.078774856
0.037000000,-0.022229928
0.038000000,0.044595896
0.039000000,0.111421720
0.040000000,0.162826200
0.041000000,0.219371128
0.042000000,0.275916056
0.043000000,0.322180088
0.044000000,0.368444120
0.045000000,0.404427256
0.046000000,0.440410392
0.047000000,0.466112632
0.048000000,0.481533976
0.049000000,0.496955320
0.050000000,0.496955320
0.051000000,0.491814872
0.052000000,0.481533976
0.053000000,0.460972184
0.054000000,0.435269944
0.055000000,0.394146360
0.056000000,0.358163224
0.057000000,0.317039640
0.058000000,0.260494712
0.059000000,0.203949784
0.060000000,0.147404856
0.061000000,0.075438584
0.062000000,0.018893656
0.063000000,-0.037651272
0.064000000,-0.104477096
0.065000000,-0.166162472
0.066000000,-0.217566952
0.067000000,-0.274111880
0.068000000,-0.330656808
0.069000000,-0.371780392
0.070000000,-0.412903976
0.071000000,-0.448887112
0.072000000,-0.469448904
0.073000000,-0.484870248
0.074000000,-0.495151144
0.075000000,-0.500291592
0.076000000,-0.500291592
0.077000000,-0.490010696
0.078000000,-0.459168008
0.079000000,-0.433465768
0.080000000,-0.397482632
0.081000000,-0.361499496
0.082000000,-0.315235464
0.083000000,-0.274111880
0.084000000,-0.202145608
0.085000000,-0.150741128
0.086000000,-0.083915304
0.087000000,-0.027370376
0.088000000,0.039455448
0.089000000,0.101140824
0.090000000,0.162826200
0.091000000,0.214230680
0.092000000,0.270775608
0.093000000,0.322180088
0.094000000,0.368444120
0.095000000,0.409567704
0.096000000,0.445550840
0.097000000,0.466112632
0.098000000,0.481533976
0.099000000,0.496955320
