# 2022-02-10, 15:22:36.801800
# fs = 200 Hz, N = 256
# NI 9201, 17.0.0
t,ai0
0.000000000,-0.978353256
0.005000000,-0.860122952
0.010000000,-0.664785928
0.015000000,-0.392342184
0.020000000,-0.099336648
0.025000000,0.219371128
0.030000000,0.512376664
0.035000000,0.748837272
0.040000000,0.918472056
0.045000000,1.000719224
0.050000000,0.969876536
0.055000000,0.867067576
0.060000000,0.661449656
0.065000000,0.399286808
0.070000000,0.096000376
0.075000000,-0.222707400
0.080000000,-0.505432040
0.085000000,-0.752173544
0.090000000,-0.916667880
0.095000000,-0.998915048
0.100000000,-0.978353256
0.105000000,-0.870403848
0.110000000,-0.664785928
0.115000000,-0.397482632
0.120000000,-0.094196200
0.125000000,0.219371128
0.130000000,0.507236216
0.135000000,0.748837272
0.140000000,0.918472056
0.145000000,0.990438328
0.150000000,0.975016984
0.155000000,0.861927128
0.160000000,0.661449656
0.165000000,0.394146360
0.170000000,0.090859928
0.175000000,-0.217566952
0.180000000,-0.510572488
0.185000000,-0.747033096
0.190000000,-0.916667880
0.195000000,-0.993774600
0.200000000,-0.978353256
0.205000000,-0.860122952
0.210000000,-0.664785928
0.215000000,-0.397482632
0.220000000,-0.089055752
0.225000000,0.214230680
0.230000000,0.502095768
0.235000000,0.748837272
0.240000000,0.923612504
0.245000000,0.995578776
0.250000000,0.969876536
0.255000000,0.856786680
0.260000000,0.661449656
0.265000000,0.394146360
0.270000000,0.090859928
0.275000000,-0.217566952
0.280000000,-0.515712936
0.285000000,-0.752173544
0.290000000,-0.911527432
0.295000000,-0.993774600
0.300000000,-0.973212808
0.305000000,-0.870403848
0.310000000,-0.664785928
0.315000000,-0.397482632
0.320000000,-0.099336648
0.325000000,0.224511576
0.330000000,0.507236216
0.335000000,0.748837272
0.340000000,0.913331608
0.345000000,1.000719224
0.350000000,0.975016984
0.355000000,0.861927128
0.360000000,0.656309208
0.365000000,0.399286808
0.370000000,0.096000376
0.375000000,-0.217566952
0.380000000,-0.505432040
0.385000000,-0.752173544
0.390000000,-0.911527432
0.395000000,-0.993774600
0.400000000,-0.978353256
0.405000000,-0.854982504
0.410000000,-0.664785928
0.415000000,-0.397482632
0.420000000,-0.099336648
0.425000000,0.214230680
0.430000000,0.507236216
0.435000000,0.748837272
0.440000000,0.918472056
0.445000000,1.000719224
0.450000000,0.980157432
0.455000000,0.861927128
0.460000000,0.661449656
0.465000000,0.399286808
0.470000000,0.096000376
0.475000000,-0.217566952
0.480000000,-0.515712936
0.485000000,-0.752173544
0.490000000,-0.921808328
0.495000000,-0.998915048
0.500000000,-0.988634152
0.505000000,-0.860122952
0.510000000,-0.669926376
0.515000000,-0.397482632
0.520000000,-0.099336648
0.525000000,0.224511576
0.530000000,0.507236216
0.535000000,0.748837272
0.540000000,0.913331608
0.545000000,0.990438328
0.550000000,0.969876536
0.555000000,0.851646232
0.560000000,0.661449656
0.565000000,0.389005912
0.570000000,0.090859928
0.575000000,-0.217566952
0.580000000,-0.515712936
0.585000000,-0.747033096
0.590000000,-0.916667880
0.595000000,-0.993774600
0.600000000,-0.978353256
0.605000000,-0.865263400
0.610000000,-0.664785928
0.615000000,-0.397482632
0.620000000,-0.099336648
0.625000000,0.214230680
0.630000000,0.512376664
0.635000000,0.753977720
0.640000000,0.908191160
0.645000000,0.995578776
0.650000000,0.975016984
0.655000000,0.867067576
0.660000000,0.656309208
0.665000000,0.399286808
0.670000000,0.090859928
0.675000000,-0.217566952
0.680000000,-0.505432040
0.685000000,-0.757313992
0.690000000,-0.911527432
0.695000000,-0.998915048
0.700000000,-0.978353256
0.705000000,-0.854982504
0.710000000,-0.664785928
0.715000000,-0.397482632
0.720000000,-0.099336648
0.725000000,0.214230680
0.730000000,0.507236216
0.735000000,0.743696824
0.740000000,0.918472056
0.745000000,0.995578776
0.750000000,0.975016984
0.755000000,0.861927128
0.760000000,0.661449656
0.765000000,0.404427256
0.770000000,0.096000376
0.775000000,-0.217566952
0.780000000,-0.515712936
0.785000000,-0.752173544
0.790000000,-0.916667880
0.795000000,-0.993774600
0.800000000,-0.978353256
0.805000000,-0.865263400
0.810000000,-0.664785928
0.815000000,-0.397482632
0.820000000,-0.094196200
0.825000000,0.224511576
0.830000000,0.502095768
0.835000000,0.748837272
0.840000000,0.913331608
0.845000000,0.990438328
0.850000000,0.980157432
0.855000000,0.856786680
0.860000000,0.656309208
0.865000000,0.389005912
0.870000000,0.101140824
0.875000000,-0.217566952
0.880000000,-0.510572488
0.885000000,-0.757313992
0.890000000,-0.916667880
0.895000000,-0.993774600
0.900000000,-0.973212808
0.905000000,-0.860122952
0.910000000,-0.664785928
0.915000000,-0.392342184
0.920000000,-0.094196200
0.925000000,0.219371128
0.930000000,0.512376664
0.935000000,0.753977720
0.940000000,0.923612504
0.945000000,0.995578776
0.950000000,0.980157432
0.955000000,0.856786680
0.960000000,0.661449656
0.965000000,0.394146360
0.970000000,0.085719480
0.975000000,-0.222707400
0.980000000,-0.510572488
0.985000000,-0.747033096
0.990000000,-0.916667880
0.995000000,-0.993774600
1.000000000,-0.978353256
1.005000000,-0.865263400
1.010000000,-0.659645480
1.015000000,-0.397482632
1.020000000,-0.094196200
1.025000000,0.224511576
1.030000000,0.507236216
1.035000000,0.743696824
1.040000000,0.913331608
1.045000000,0.990438328
1.050000000,0.980157432
1.055000000,0.861927128
1.060000000,0.661449656
1.065000000,0.399286808
1.070000000,0.090859928
1.075000000,-0.222707400
1.080000000,-0.505432040
1.085000000,-0.752173544
1.090000000,-0.916667880
1.095000000,-0.998915048
1.100000000,-0.978353256
1.105000000,-0.870403848
1.110000000,-0.664785928
1.115000000,-0.402623080
1.120000000,-0.099336648
1.125000000,0.214230680
1.130000000,0.507236216
1.135000000,0.748837272
1.140000000,0.918472056
1.145000000,0.995578776
1.150000000,0.969876536
1.155000000,0.861927128
1.160000000,0.656309208
1.165000000,0.399286808
1.170000000,0.090859928
1.175000000,-0.217566952
1.180000000,-0.505432040
1.185000000,-0.752173544
1.190000000,-0.916667880
1.195000000,-0.993774600
1.200000000,-0.973212808
1.205000000,-0.854982504
1.210000000,-0.659645480
1.215000000,-0.392342184
1.220000000,-0.094196200
1.225000000,0.214230680
1.230000000,0.502095768
1.235000000,0.743696824
1.240000000,0.918472056
1.245000000,0.990438328
1.250000000,0.980157432
1.255000000,0.861927128
1.260000000,0.661449656
1.265000000,0.394146360
1.270000000,0.101140824
1.275000000,-0.222707400
