# 2022-02-10, 15:38:21.578899
# fs = 200 Hz, N = 256
# NI 9201, 17.0.0
t,ai0
0.000000000,2.198443608
0.005000000,1.884876280
0.010000000,1.586730296
0.015000000,1.329707896
0.020000000,1.139511320
0.025000000,1.031561912
0.030000000,1.021281016
0.035000000,1.108668632
0.040000000,1.278303416
0.045000000,1.530185368
0.050000000,1.823190904
0.055000000,2.131617784
0.060000000,2.429763768
0.065000000,2.691926616
0.070000000,2.892404088
0.075000000,2.984932152
0.080000000,3.000353496
0.085000000,2.918106328
0.090000000,2.748471544
0.095000000,2.491449144
0.100000000,2.203584056
0.105000000,1.895157176
0.110000000,1.591870744
0.115000000,1.324567448
0.120000000,1.134370872
0.125000000,1.031561912
0.130000000,1.021281016
0.135000000,1.108668632
0.140000000,1.288584312
0.145000000,1.525044920
0.150000000,1.823190904
0.155000000,2.131617784
0.160000000,2.434904216
0.165000000,2.697067064
0.170000000,2.887263640
0.175000000,2.990072600
0.180000000,3.000353496
0.185000000,2.918106328
0.190000000,2.738190648
0.195000000,2.501730040
0.200000000,2.203584056
0.205000000,1.884876280
0.210000000,1.591870744
0.215000000,1.329707896
0.220000000,1.139511320
0.225000000,1.031561912
0.230000000,1.021281016
0.235000000,1.113809080
0.240000000,1.278303416
0.245000000,1.525044920
0.250000000,1.828331352
0.255000000,2.136758232
0.260000000,2.434904216
0.265000000,2.691926616
0.270000000,2.882123192
0.275000000,2.990072600
0.280000000,3.000353496
0.285000000,2.923246776
0.290000000,2.738190648
0.295000000,2.501730040
0.300000000,2.198443608
0.305000000,1.884876280
0.310000000,1.586730296
0.315000000,1.329707896
0.320000000,1.129230424
0.325000000,1.031561912
0.330000000,1.016140568
0.335000000,1.108668632
0.340000000,1.278303416
0.345000000,1.530185368
0.350000000,1.823190904
0.355000000,2.136758232
0.360000000,2.434904216
0.365000000,2.686786168
0.370000000,2.887263640
0.375000000,2.990072600
0.380000000,3.005493944
0.385000000,2.912965880
0.390000000,2.743331096
0.395000000,2.496589592
0.400000000,2.198443608
0.405000000,1.895157176
0.410000000,1.586730296
0.415000000,1.334848344
0.420000000,1.134370872
0.425000000,1.031561912
0.430000000,1.016140568
0.435000000,1.113809080
0.440000000,1.283443864
0.445000000,1.535325816
0.450000000,1.818050456
0.455000000,2.131617784
0.460000000,2.440044664
0.465000000,2.686786168
0.470000000,2.897544536
0.475000000,2.990072600
0.480000000,3.000353496
0.485000000,2.918106328
0.490000000,2.743331096
0.495000000,2.491449144
0.500000000,2.198443608
0.505000000,1.884876280
0.510000000,1.591870744
0.515000000,1.329707896
0.520000000,1.134370872
0.525000000,1.026421464
0.530000000,1.021281016
0.535000000,1.103528184
0.540000000,1.288584312
0.545000000,1.525044920
0.550000000,1.828331352
0.555000000,2.131617784
0.560000000,2.434904216
0.565000000,2.691926616
0.570000000,2.887263640
0.575000000,2.990072600
0.580000000,3.000353496
0.585000000,2.912965880
0.590000000,2.748471544
0.595000000,2.491449144
0.600000000,2.198443608
0.605000000,1.884876280
0.610000000,1.586730296
0.615000000,1.324567448
0.620000000,1.134370872
0.625000000,1.026421464
0.630000000,1.016140568
0.635000000,1.103528184
0.640000000,1.283443864
0.645000000,1.525044920
0.650000000,1.818050456
0.655000000,2.131617784
0.660000000,2.434904216
0.665000000,2.697067064
0.670000000,2.882123192
0.675000000,2.990072600
0.680000000,3.000353496
0.685000000,2.912965880
0.690000000,2.743331096
0.695000000,2.496589592
0.700000000,2.198443608
0.705000000,1.884876280
0.710000000,1.591870744
0.715000000,1.329707896
0.720000000,1.134370872
0.725000000,1.031561912
0.730000000,1.011000120
0.735000000,1.103528184
0.740000000,1.288584312
0.745000000,1.525044920
0.750000000,1.823190904
0.755000000,2.136758232
0.760000000,2.434904216
0.765000000,2.691926616
0.770000000,2.887263640
0.775000000,2.990072600
0.780000000,3.000353496
