# 2022-02-10, 15:33:08.741819
# fs = 200 Hz, N = 256
# NI 9201, 17.0.0
t,ai0
0.000000000,0.604904728
0.005000000,0.825943992
0.010000000,0.959595640
0.015000000,0.995578776
0.020000000,0.944174296
0.025000000,0.795101304
0.030000000,0.568921592
0.035000000,0.286196952
0.040000000,-0.022229928
0.045000000,-0.330656808
0.050000000,-0.603100552
0.055000000,-0.824139816
0.060000000,-0.962931912
0.065000000,-1.004055496
0.070000000,-0.952651016
0.075000000,-0.798437576
0.080000000,-0.572257864
0.085000000,-0.289533224
0.090000000,0.024034104
0.095000000,0.327320536
0.100000000,0.604904728
0.105000000,0.820803544
0.110000000,0.959595640
0.115000000,1.000719224
0.120000000,0.944174296
0.125000000,0.800241752
0.130000000,0.568921592
0.135000000,0.291337400
0.140000000,-0.022229928
0.145000000,-0.330656808
0.150000000,-0.608241000
0.155000000,-0.824139816
0.160000000,-0.952651016
0.165000000,-0.993774600
0.170000000,-0.947510568
0.175000000,-0.793297128
0.180000000,-0.567117416
0.185000000,-0.289533224
0.190000000,0.029174552
0.195000000,0.327320536
0.200000000,0.610045176
0.205000000,0.820803544
0.210000000,0.959595640
0.215000000,1.000719224
0.220000000,0.939033848
0.225000000,0.795101304
0.230000000,0.568921592
0.235000000,0.286196952
0.240000000,-0.022229928
0.245000000,-0.335797256
0.250000000,-0.608241000
0.255000000,-0.824139816
0.260000000,-0.957791464
0.265000000,-0.998915048
0.270000000,-0.937229672
0.275000000,-0.798437576
0.280000000,-0.567117416
0.285000000,-0.284392776
0.290000000,0.024034104
0.295000000,0.327320536
0.300000000,0.604904728
0.305000000,0.820803544
0.310000000,0.959595640
0.315000000,1.005859672
0.320000000,0.944174296
0.325000000,0.795101304
0.330000000,0.574062040
0.335000000,0.291337400
0.340000000,-0.027370376
0.345000000,-0.335797256
0.350000000,-0.608241000
0.355000000,-0.824139816
0.360000000,-0.962931912
0.365000000,-0.998915048
0.370000000,-0.947510568
0.375000000,-0.788156680
0.380000000,-0.572257864
0.385000000,-0.289533224
0.390000000,0.024034104
0.395000000,0.322180088
0.400000000,0.604904728
0.405000000,0.820803544
0.410000000,0.959595640
0.415000000,1.000719224
0.420000000,0.944174296
0.425000000,0.795101304
0.430000000,0.574062040
0.435000000,0.286196952
0.440000000,-0.022229928
0.445000000,-0.335797256
0.450000000,-0.603100552
0.455000000,-0.829280264
0.460000000,-0.957791464
0.465000000,-0.993774600
0.470000000,-0.947510568
0.475000000,-0.798437576
0.480000000,-0.572257864
0.485000000,-0.289533224
0.490000000,0.024034104
0.495000000,0.327320536
0.500000000,0.604904728
0.505000000,0.831084440
0.510000000,0.959595640
0.515000000,1.005859672
0.520000000,0.944174296
0.525000000,0.795101304
0.530000000,0.568921592
0.535000000,0.286196952
0.540000000,-0.022229928
0.545000000,-0.335797256
0.550000000,-0.603100552
0.555000000,-0.829280264
0.560000000,-0.962931912
0.565000000,-0.998915048
0.570000000,-0.942370120
0.575000000,-0.793297128
0.580000000,-0.577398312
0.585000000,-0.289533224
0.590000000,0.024034104
0.595000000,0.337601432
0.600000000,0.610045176
0.605000000,0.820803544
0.610000000,0.959595640
0.615000000,0.995578776
0.620000000,0.944174296
0.625000000,0.795101304
0.630000000,0.563781144
0.635000000,0.286196952
0.640000000,-0.027370376
0.645000000,-0.330656808
0.650000000,-0.603100552
0.655000000,-0.818999368
0.660000000,-0.957791464
0.665000000,-0.998915048
0.670000000,-0.942370120
0.675000000,-0.798437576
0.680000000,-0.561976968
0.685000000,-0.289533224
0.690000000,0.024034104
0.695000000,0.327320536
0.700000000,0.599764280
0.705000000,0.815663096
0.710000000,0.954455192
0.715000000,1.000719224
0.720000000,0.939033848
0.725000000,0.789960856
0.730000000,0.574062040
0.735000000,0.286196952
0.740000000,-0.027370376
0.745000000,-0.335797256
0.750000000,-0.608241000
0.755000000,-0.824139816
0.760000000,-0.957791464
0.765000000,-1.004055496
0.770000000,-0.942370120
0.775000000,-0.793297128
0.780000000,-0.567117416
0.785000000,-0.284392776
0.790000000,0.024034104
0.795000000,0.327320536
0.800000000,0.604904728
0.805000000,0.820803544
0.810000000,0.954455192
0.815000000,1.000719224
0.820000000,0.939033848
0.825000000,0.789960856
0.830000000,0.568921592
0.835000000,0.286196952
0.840000000,-0.027370376
0.845000000,-0.335797256
0.850000000,-0.608241000
0.855000000,-0.829280264
0.860000000,-0.962931912
0.865000000,-0.993774600
0.870000000,-0.942370120
0.875000000,-0.798437576
0.880000000,-0.572257864
0.885000000,-0.284392776
0.890000000,0.024034104
0.895000000,0.327320536
0.900000000,0.599764280
0.905000000,0.815663096
0.910000000,0.954455192
0.915000000,1.000719224
0.920000000,0.949314744
0.925000000,0.789960856
0.930000000,0.568921592
0.935000000,0.291337400
0.940000000,-0.022229928
0.945000000,-0.335797256
0.950000000,-0.608241000
0.955000000,-0.818999368
0.960000000,-0.957791464
0.965000000,-0.998915048
0.970000000,-0.942370120
0.975000000,-0.798437576
0.980000000,-0.567117416
0.985000000,-0.284392776
0.990000000,0.018893656
0.995000000,0.342741880
1.000000000,0.610045176
1.005000000,0.815663096
1.010000000,0.959595640
1.015000000,1.000719224
1.020000000,0.939033848
1.025000000,0.795101304
1.030000000,0.558640696
1.035000000,0.286196952
1.040000000,-0.027370376
1.045000000,-0.335797256
1.050000000,-0.608241000
1.055000000,-0.829280264
1.060000000,-0.957791464
1.065000000,-0.998915048
1.070000000,-0.942370120
1.075000000,-0.798437576
1.080000000,-0.572257864
1.085000000,-0.289533224
1.090000000,0.029174552
1.095000000,0.327320536
1.100000000,0.604904728
1.105000000,0.815663096
1.110000000,0.959595640
1.115000000,1.000719224
1.120000000,0.949314744
1.125000000,0.795101304
1.130000000,0.563781144
1.135000000,0.291337400
1.140000000,-0.022229928
1.145000000,-0.335797256
1.150000000,-0.608241000
1.155000000,-0.813858920
1.160000000,-0.962931912
1.165000000,-0.998915048
1.170000000,-0.942370120
1.175000000,-0.798437576
1.180000000,-0.567117416
1.185000000,-0.284392776
1.190000000,0.018893656
1.195000000,0.337601432
1.200000000,0.599764280
1.205000000,0.820803544
1.210000000,0.959595640
1.215000000,1.000719224
1.220000000,0.949314744
1.225000000,0.795101304
1.230000000,0.568921592
1.235000000,0.281056504
1.240000000,-0.027370376
1.245000000,-0.335797256
1.250000000,-0.608241000
1.255000000,-0.829280264
1.260000000,-0.952651016
1.265000000,-0.998915048
1.270000000,-0.942370120
1.275000000,-0.793297128
