# 2022-02-10, 15:41:35.507135
# fs = 26 Hz, N = 512
# NI 9201, 17.0.0
t,ai0
0.000000000,1.011000120
0.039062500,2.712488408
0.078125000,1.915718968
0.117187500,1.458219096
0.156250000,2.974651256
0.195312500,1.088106840
0.234375000,2.476027800
0.273437500,2.203584056
0.312500000,1.232039384
0.351562500,3.005493944
0.390625000,1.237179832
0.429687500,2.203584056
0.468750000,2.481168248
0.507812500,1.082966392
0.546875000,2.964370360
0.585937500,1.458219096
0.625000000,1.910578520
0.664062500,2.717628856
0.703125000,1.011000120
0.742187500,2.835859160
0.781250000,1.725522392
0.820312500,1.627853880
0.859375000,2.892404088
0.898437500,1.031561912
0.937500000,2.635381688
0.976562500,2.013387480
1.015625000,1.375971928
1.054687500,2.995213048
1.093750000,1.134370872
1.132812500,2.383499736
1.171875000,2.301252568
1.210937500,1.170354008
1.250000000,3.005493944
1.289062500,1.309146104
1.328125000,2.105915544
1.367187500,2.568555864
1.406250000,1.057264152
1.445312500,2.938668120
1.484375000,1.540466264
1.523437500,1.812910008
1.562500000,2.784454680
1.601562500,1.011000120
1.640625000,2.779314232
1.679687500,1.818050456
1.718750000,1.540466264
1.757812500,2.933527672
1.796875000,1.057264152
1.835937500,2.563415416
1.875000000,2.111055992
1.914062500,1.309146104
1.953125000,3.005493944
1.992187500,1.185775352
2.031250000,2.285831224
2.070312500,2.398921080
2.109375000,1.124089976
2.148437500,2.990072600
2.187500000,1.381112376
2.226562500,2.003106584
2.265625000,2.635381688
2.304687500,1.021281016
2.343750000,2.887263640
2.382812500,1.632994328
2.421875000,1.715241496
2.460937500,2.840999608
2.500000000,1.016140568
2.539062500,2.717628856
2.578125000,1.915718968
2.617187500,1.453078648
2.656250000,2.964370360
2.695312500,1.082966392
2.734375000,2.481168248
2.773437500,2.208724504
2.812500000,1.237179832
2.851562500,3.015774840
2.890625000,1.237179832
2.929687500,2.208724504
2.968750000,2.481168248
3.007812500,1.088106840
3.046875000,2.969510808
3.085937500,1.453078648
3.125000000,1.915718968
3.164062500,2.717628856
3.203125000,1.021281016
3.242187500,2.840999608
3.281250000,1.720381944
3.320312500,1.627853880
3.359375000,2.887263640
3.398437500,1.031561912
3.437500000,2.645662584
3.476562500,2.013387480
3.515625000,1.375971928
3.554687500,2.990072600
3.593750000,1.134370872
3.632812500,2.388640184
3.671875000,2.301252568
3.710937500,1.180634904
3.750000000,3.005493944
3.789062500,1.304005656
3.828125000,2.105915544
3.867187500,2.568555864
3.906250000,1.046983256
3.945312500,2.928387224
3.984375000,1.545606712
4.023437500,1.812910008
4.062500000,2.789595128
4.101562500,1.011000120
4.140625000,2.784454680
4.179687500,1.818050456
4.218750000,1.545606712
4.257812500,2.933527672
4.296875000,1.046983256
4.335937500,2.563415416
4.375000000,2.116196440
4.414062500,1.304005656
4.453125000,3.005493944
4.492187500,1.180634904
4.531250000,2.301252568
4.570312500,2.393780632
4.609375000,1.139511320
4.648437500,2.995213048
4.687500000,1.375971928
4.726562500,2.013387480
4.765625000,2.645662584
4.804687500,1.026421464
4.843750000,2.887263640
4.882812500,1.632994328
4.921875000,1.715241496
4.960937500,2.840999608
5.000000000,1.016140568
5.039062500,2.717628856
5.078125000,1.915718968
5.117187500,1.458219096
5.156250000,2.959229912
5.195312500,1.093247288
5.234375000,2.481168248
5.273437500,2.203584056
5.312500000,1.242320280
5.351562500,3.010634392
5.390625000,1.237179832
5.429687500,2.203584056
5.468750000,2.486308696
5.507812500,1.088106840
5.546875000,2.969510808
5.585937500,1.458219096
5.625000000,1.910578520
5.664062500,2.717628856
5.703125000,1.016140568
5.742187500,2.846140056
5.781250000,1.720381944
5.820312500,1.627853880
5.859375000,2.892404088
5.898437500,1.031561912
5.937500000,2.645662584
5.976562500,2.013387480
6.015625000,1.375971928
6.054687500,2.990072600
6.093750000,1.129230424
6.132812500,2.393780632
6.171875000,2.296112120
6.210937500,1.180634904
6.250000000,3.005493944
6.289062500,1.309146104
6.328125000,2.111055992
6.367187500,2.563415416
6.406250000,1.052123704
6.445312500,2.928387224
6.484375000,1.540466264
6.523437500,1.812910008
6.562500000,2.784454680
6.601562500,1.016140568
6.640625000,2.789595128
6.679687500,1.812910008
6.718750000,1.540466264
6.757812500,2.933527672
6.796875000,1.052123704
6.835937500,2.568555864
6.875000000,2.111055992
6.914062500,1.304005656
6.953125000,3.005493944
6.992187500,1.170354008
7.031250000,2.301252568
7.070312500,2.393780632
7.109375000,1.134370872
7.148437500,2.995213048
7.187500000,1.375971928
7.226562500,2.013387480
7.265625000,2.640522136
7.304687500,1.026421464
7.343750000,2.897544536
7.382812500,1.627853880
7.421875000,1.725522392
7.460937500,2.846140056
7.500000000,1.016140568
7.539062500,2.717628856
7.578125000,1.915718968
7.617187500,1.447938200
7.656250000,2.969510808
7.695312500,1.088106840
7.734375000,2.486308696
7.773437500,2.203584056
7.812500000,1.237179832
7.851562500,3.010634392
7.890625000,1.232039384
7.929687500,2.208724504
7.968750000,2.476027800
8.007812500,1.088106840
8.046875000,2.964370360
8.085937500,1.453078648
8.125000000,1.910578520
8.164062500,2.717628856
8.203125000,1.021281016
8.242187500,2.846140056
8.281250000,1.715241496
8.320312500,1.632994328
8.359375000,2.887263640
8.398437500,1.026421464
8.437500000,2.645662584
8.476562500,2.013387480
8.515625000,1.375971928
8.554687500,2.990072600
8.593750000,1.129230424
8.632812500,2.388640184
8.671875000,2.301252568
8.710937500,1.185775352
8.750000000,3.000353496
8.789062500,1.304005656
8.828125000,2.116196440
8.867187500,2.568555864
8.906250000,1.052123704
8.945312500,2.933527672
8.984375000,1.540466264
9.023437500,1.823190904
9.062500000,2.784454680
9.101562500,1.016140568
9.140625000,2.784454680
9.179687500,1.807769560
9.218750000,1.545606712
9.257812500,2.938668120
9.296875000,1.046983256
9.335937500,2.573696312
9.375000000,2.105915544
9.414062500,1.309146104
9.453125000,3.000353496
9.492187500,1.170354008
9.531250000,2.301252568
9.570312500,2.393780632
9.609375000,1.124089976
9.648437500,2.990072600
9.687500000,1.375971928
9.726562500,2.013387480
9.765625000,2.640522136
9.804687500,1.031561912
9.843750000,2.897544536
9.882812500,1.627853880
9.921875000,1.725522392
9.960937500,2.840999608
10.000000000,1.021281016
10.039062500,2.722769304
10.078125000,1.905438072
10.117187500,1.458219096
10.156250000,2.964370360
10.195312500,1.093247288
10.234375000,2.486308696
10.273437500,2.198443608
10.312500000,1.247460728
10.351562500,3.015774840
10.390625000,1.232039384
10.429687500,2.213864952
10.468750000,2.476027800
10.507812500,1.093247288
10.546875000,2.969510808
10.585937500,1.453078648
10.625000000,1.920859416
10.664062500,2.712488408
10.703125000,1.011000120
10.742187500,2.840999608
10.781250000,1.715241496
10.820312500,1.627853880
10.859375000,2.897544536
10.898437500,1.026421464
