# 2022-02-10, 15:40:30.889588
# fs = 25 Hz, N = 256
# NI 9201, 17.0.0
t,ai0
0.000000000,1.540466264
0.040000000,1.874595384
0.080000000,2.702207512
0.120000000,1.026421464
0.160000000,2.907825432
0.200000000,1.535325816
0.240000000,1.874595384
0.280000000,2.702207512
0.320000000,1.026421464
0.360000000,2.907825432
0.400000000,1.545606712
0.440000000,1.869454936
0.480000000,2.707347960
0.520000000,1.026421464
0.560000000,2.902684984
0.600000000,1.540466264
0.640000000,1.869454936
0.680000000,2.707347960
0.720000000,1.026421464
0.760000000,2.918106328
0.800000000,1.540466264
0.840000000,1.874595384
0.880000000,2.702207512
0.920000000,1.026421464
0.960000000,2.902684984
1.000000000,1.545606712
1.040000000,1.869454936
1.080000000,2.707347960
1.120000000,1.026421464
1.160000000,2.912965880
1.200000000,1.545606712
1.240000000,1.869454936
1.280000000,2.707347960
1.320000000,1.021281016
1.360000000,2.902684984
1.400000000,1.535325816
1.440000000,1.874595384
1.480000000,2.707347960
1.520000000,1.021281016
1.560000000,2.912965880
1.600000000,1.545606712
1.640000000,1.874595384
1.680000000,2.707347960
1.720000000,1.026421464
1.760000000,2.907825432
1.800000000,1.545606712
1.840000000,1.874595384
1.880000000,2.707347960
1.920000000,1.021281016
1.960000000,2.902684984
2.000000000,1.545606712
2.040000000,1.874595384
2.080000000,2.712488408
2.120000000,1.026421464
2.160000000,2.912965880
2.200000000,1.545606712
2.240000000,1.874595384
2.280000000,2.712488408
2.320000000,1.021281016
2.360000000,2.907825432
2.400000000,1.540466264
2.440000000,1.874595384
2.480000000,2.707347960
2.520000000,1.021281016
2.560000000,2.912965880
2.600000000,1.535325816
2.640000000,1.869454936
2.680000000,2.707347960
2.720000000,1.021281016
2.760000000,2.907825432
2.800000000,1.540466264
2.840000000,1.874595384
2.880000000,2.702207512
2.920000000,1.021281016
2.960000000,2.907825432
3.000000000,1.540466264
3.040000000,1.879735832
3.080000000,2.712488408
3.120000000,1.026421464
3.160000000,2.912965880
3.200000000,1.545606712
3.240000000,1.874595384
3.280000000,2.702207512
3.320000000,1.031561912
3.360000000,2.907825432
3.400000000,1.545606712
3.440000000,1.874595384
3.480000000,2.707347960
3.520000000,1.031561912
3.560000000,2.902684984
3.600000000,1.540466264
3.640000000,1.879735832
3.680000000,2.707347960
3.720000000,1.031561912
3.760000000,2.907825432
3.800000000,1.545606712
3.840000000,1.869454936
3.880000000,2.707347960
3.920000000,1.021281016
3.960000000,2.907825432
4.000000000,1.540466264
4.040000000,1.879735832
4.080000000,2.712488408
4.120000000,1.016140568
4.160000000,2.907825432
4.200000000,1.540466264
4.240000000,1.874595384
4.280000000,2.702207512
4.320000000,1.031561912
4.360000000,2.912965880
4.400000000,1.545606712
4.440000000,1.874595384
4.480000000,2.702207512
4.520000000,1.031561912
4.560000000,2.902684984
4.600000000,1.540466264
4.640000000,1.874595384
4.680000000,2.702207512
4.720000000,1.021281016
4.760000000,2.912965880
4.800000000,1.545606712
4.840000000,1.869454936
4.880000000,2.707347960
4.920000000,1.031561912
4.960000000,2.912965880
5.000000000,1.540466264
5.040000000,1.874595384
5.080000000,2.702207512
5.120000000,1.031561912
5.160000000,2.907825432
5.200000000,1.540466264
5.240000000,1.874595384
5.280000000,2.707347960
5.320000000,1.031561912
5.360000000,2.907825432
5.400000000,1.545606712
5.440000000,1.874595384
5.480000000,2.702207512
5.520000000,1.031561912
5.560000000,2.907825432
5.600000000,1.535325816
5.640000000,1.864314488
5.680000000,2.702207512
5.720000000,1.026421464
5.760000000,2.902684984
5.800000000,1.545606712
5.840000000,1.874595384
5.880000000,2.702207512
5.920000000,1.021281016
5.960000000,2.912965880
