# 2022-02-10, 15:46:35.155558
# fs = 256 Hz, N = 256
# NI 9201, 17.0.0
t,ai0
0.000000000,-0.402623080
0.003906250,-0.561976968
0.007812500,-0.716190408
0.011718750,-0.860122952
0.015625000,-0.973212808
0.019531250,-0.824139816
0.023437500,-0.664785928
0.027343750,-0.500291592
0.031250000,-0.356359048
0.035156250,-0.191864712
0.039062500,-0.032510824
0.042968750,0.116562168
0.046875000,0.270775608
0.050781250,0.435269944
0.054687500,0.589483384
0.058593750,0.748837272
0.062500000,0.903050712
0.066406250,0.944174296
0.070312500,0.795101304
0.074218750,0.630606968
0.078125000,0.471253080
0.082031250,0.322180088
0.085937500,0.157685752
0.089843750,0.003472312
0.093750000,-0.150741128
0.097656250,-0.310095016
0.101562500,-0.464308456
0.105468750,-0.618521896
0.109375000,-0.767594888
0.113281250,-0.926948776
0.117187500,-0.916667880
0.121093750,-0.757313992
0.125000000,-0.603100552
0.128906250,-0.448887112
0.132812500,-0.294673672
0.136718750,-0.130179336
0.140625000,0.029174552
0.144531250,0.173107096
0.148437500,0.337601432
0.152343750,0.491814872
0.156250000,0.651168760
0.160156250,0.800241752
0.164062500,0.969876536
0.167968750,0.877348472
0.171875000,0.728275480
0.175781250,0.568921592
0.179687500,0.409567704
0.183593750,0.250213816
0.187500000,0.106281272
0.191406250,-0.063353512
0.195312500,-0.212426504
0.199218750,-0.376920840
0.203125000,-0.525993832
0.207031250,-0.685347720
0.210937500,-0.839561160
0.214843750,-0.993774600
0.218750000,-0.844701608
0.222656250,-0.695628616
0.226562500,-0.536274728
0.230468750,-0.376920840
0.234375000,-0.227847848
0.238281250,-0.073634408
0.242187500,0.085719480
0.246093750,0.245073368
0.250000000,0.404427256
0.253906250,0.563781144
0.257812500,0.707713688
0.261718750,0.872208024
0.265625000,0.980157432
0.269531250,0.820803544
0.273437500,0.661449656
0.277343750,0.507236216
0.281250000,0.353022776
0.285156250,0.198809336
0.289062500,0.039455448
0.292968750,-0.119898440
0.296875000,-0.279252328
0.300781250,-0.433465768
0.304687500,-0.582538760
0.308593750,-0.741892648
0.312500000,-0.906386984
0.316406250,-0.947510568
0.320312500,-0.788156680
0.324218750,-0.623662344
0.328125000,-0.479729800
0.332031250,-0.320375912
0.335937500,-0.166162472
0.339843750,-0.006808584
0.343750000,0.147404856
0.347656250,0.306758744
0.351562500,0.466112632
0.355468750,0.620326072
0.359375000,0.779679960
0.363281250,0.933893400
0.367187500,0.913331608
0.371093750,0.753977720
0.375000000,0.599764280
0.378906250,0.445550840
0.382812500,0.291337400
0.386718750,0.131983512
0.390625000,-0.027370376
0.394531250,-0.176443368
0.398437500,-0.346078152
0.402343750,-0.490010696
0.406250000,-0.654505032
0.410156250,-0.808718472
0.414062500,-0.968072360
0.417968750,-0.890965640
0.421875000,-0.726471304
0.425781250,-0.567117416
0.429687500,-0.418044424
0.433593750,-0.253550088
0.437500000,-0.109617544
0.441406250,0.054876792
0.445312500,0.209090232
0.449218750,0.373584568
0.453125000,0.522657560
0.457031250,0.687151896
0.460937500,0.841365336
0.464843750,1.000719224
0.468750000,0.846505784
0.472656250,0.687151896
0.476562500,0.532938456
0.480468750,0.378725016
0.484375000,0.224511576
0.488281250,0.070298136
0.492187500,-0.089055752
0.496093750,-0.243269192
0.500000000,-0.397482632
0.503906250,-0.567117416
0.507812500,-0.711049960
0.511718750,-0.870403848
0.515625000,-0.983493704
0.519531250,-0.818999368
0.523437500,-0.669926376
0.527343750,-0.505432040
0.531250000,-0.346078152
0.535156250,-0.191864712
0.539062500,-0.032510824
0.542968750,0.126843064
0.546875000,0.275916056
0.550781250,0.435269944
0.554687500,0.589483384
0.558593750,0.743696824
0.562500000,0.903050712
0.566406250,0.939033848
0.570312500,0.784820408
0.574218750,0.630606968
0.578125000,0.481533976
0.582031250,0.317039640
0.585937500,0.162826200
0.589843750,0.008612760
0.593750000,-0.145600680
0.597656250,-0.304954568
0.601562500,-0.464308456
0.605468750,-0.623662344
0.609375000,-0.772735336
0.613281250,-0.932089224
0.617187500,-0.916667880
0.621093750,-0.752173544
0.625000000,-0.597960104
0.628906250,-0.438606216
0.632812500,-0.289533224
0.636718750,-0.140460232
0.640625000,0.024034104
0.644531250,0.183387992
0.648437500,0.332460984
0.652343750,0.491814872
0.656250000,0.656309208
0.660156250,0.810522648
0.664062500,0.964736088
0.667968750,0.882488920
0.671875000,0.728275480
0.675781250,0.568921592
0.679687500,0.414708152
0.683593750,0.255354264
0.687500000,0.101140824
0.691406250,-0.068493960
0.695312500,-0.217566952
0.699218750,-0.376920840
0.703125000,-0.531134280
0.707031250,-0.685347720
0.710937500,-0.839561160
0.714843750,-0.993774600
0.718750000,-0.854982504
0.722656250,-0.690488168
0.726562500,-0.546555624
0.730468750,-0.376920840
0.734375000,-0.222707400
0.738281250,-0.068493960
0.742187500,0.085719480
0.746093750,0.245073368
0.750000000,0.399286808
0.753906250,0.553500248
0.757812500,0.712854136
0.761718750,0.867067576
0.765625000,0.975016984
0.769531250,0.820803544
0.773437500,0.661449656
0.777343750,0.507236216
0.781250000,0.358163224
0.785156250,0.193668888
0.789062500,0.034315000
0.792968750,-0.119898440
0.796875000,-0.279252328
0.800781250,-0.433465768
0.804687500,-0.592819656
0.808593750,-0.747033096
0.812500000,-0.901246536
0.816406250,-0.947510568
0.820312500,-0.793297128
0.824218750,-0.628802792
0.828125000,-0.479729800
0.832031250,-0.315235464
0.835937500,-0.161022024
0.839843750,-0.006808584
0.843750000,0.152545304
0.847656250,0.311899192
0.851562500,0.466112632
0.855468750,0.620326072
0.859375000,0.774539512
0.863281250,0.933893400
