# 2022-02-17, 14:39:29.411978
# fs = 10000 Hz, N = 1000
# NI 9201, 17.0.0
t,ai0
0.000000000,1.237218288
0.000100000,0.934111511
0.000200000,0.610455122
0.000300000,0.297073539
0.000400000,-0.021445447
0.000500000,-0.329689627
0.000600000,-0.653346016
0.000700000,-0.956452793
0.000800000,-1.259559570
0.000900000,-1.562666347
0.001000000,-1.860635721
0.001100000,-2.143192886
0.001200000,-2.425750051
0.001300000,-2.698032410
0.001400000,-2.954902560
0.001500000,-3.201497904
0.001600000,-3.442955845
0.001700000,-3.658726771
0.001800000,-3.864222891
0.001900000,-4.059444205
0.002000000,-4.239253310
0.002100000,-4.393375400
0.002200000,-4.542360087
0.002300000,-4.655382953
0.002400000,-4.768405819
0.002500000,-4.855741670
0.002600000,-4.922527909
0.002700000,-4.979039342
0.002800000,-4.994451551
0.002900000,-5.004726357
0.003000000,-4.994451551
0.003100000,-4.968764536
0.003200000,-4.912253103
0.003300000,-4.840329461
0.003400000,-4.758131013
0.003500000,-4.645108147
0.003600000,-4.521810475
0.003700000,-4.388237997
0.003800000,-4.223841101
0.003900000,-4.044031996
0.004000000,-3.848810682
0.004100000,-3.643314562
0.004200000,-3.417268830
0.004300000,-3.175810889
0.004400000,-2.929215545
0.004500000,-2.667207992
0.004600000,-2.400063036
0.004700000,-2.117505871
0.004800000,-1.824673900
0.004900000,-1.526704526
0.005000000,-1.228735152
0.005100000,-0.915353569
0.005200000,-0.612246792
0.005300000,-0.298865209
0.005400000,0.014516374
0.005500000,0.327897957
0.005600000,0.646416943
0.005700000,0.959798526
0.005800000,1.262905303
0.005900000,1.566012080
0.006000000,1.858844051
0.006100000,2.156813425
0.006200000,2.429095784
0.006300000,2.701378143
0.006400000,2.953110890
0.006500000,3.204843637
0.006600000,3.446301578
0.006700000,3.667209907
0.006800000,3.867568624
0.006900000,4.057652535
0.007000000,4.232324237
0.007100000,4.401858536
0.007200000,4.540568417
0.007300000,4.663866089
0.007400000,4.771751552
0.007500000,4.853950000
0.007600000,4.925873642
0.007700000,4.966972866
0.007800000,5.008072090
0.007900000,5.008072090
0.008000000,5.002934687
0.008100000,4.966972866
0.008200000,4.915598836
0.008300000,4.843675194
