# 2022-02-17, 15:08:38.305761
# fs = 1000 Hz, N = 1024
# NI 9201, 17.0.0
t,ai0
0.000000000,2.675691128
0.001000000,2.336622530
0.002000000,1.627660916
0.003000000,0.728615391
0.004000000,-0.160155328
0.005000000,-0.802330703
0.006000000,-1.084887868
0.007000000,-0.987277211
0.008000000,-0.694445240
0.009000000,-0.432437687
0.010000000,-0.406750672
0.011000000,-0.756094076
0.012000000,-1.449643481
0.013000000,-2.338414200
0.014000000,-3.186085695
0.015000000,-3.776887040
0.016000000,-3.987520563
0.017000000,-3.828261070
0.018000000,-3.453230651
0.019000000,-3.098749844
0.020000000,-2.970314769
0.021000000,-3.211772710
0.022000000,-3.782024443
0.023000000,-4.532085281
0.024000000,-5.241046895
0.025000000,-5.688000956
0.026000000,-5.734237583
0.027000000,-5.400306388
0.028000000,-4.866016476
0.029000000,-4.331726564
0.030000000,-4.033757190
0.031000000,-4.085131220
0.032000000,-4.465299042
0.033000000,-5.030413372
0.034000000,-5.539016269
0.035000000,-5.785611613
0.036000000,-5.636626926
0.037000000,-5.122886626
0.038000000,-4.393375400
0.039000000,-3.653589368
0.040000000,-3.165536083
0.041000000,-3.037101008
0.042000000,-3.237459725
0.043000000,-3.633039756
0.044000000,-3.966970951
0.045000000,-4.049169399
0.046000000,-3.746062622
0.047000000,-3.078200232
0.048000000,-2.199704319
0.049000000,-1.331483212
0.050000000,-0.725269658
0.051000000,-0.478674314
0.052000000,-0.581422374
0.053000000,-0.884529151
0.054000000,-1.131124495
0.055000000,-1.146536704
0.056000000,-0.776643688
0.057000000,-0.052269865
0.058000000,0.857050466
0.059000000,1.735546379
0.060000000,2.362309545
0.061000000,2.614042292
0.062000000,2.501019426
0.063000000,2.182500440
0.064000000,1.884531066
0.065000000,1.838294439
0.066000000,2.141401216
0.067000000,2.788713994
0.068000000,3.631248086
0.069000000,4.412133342
0.070000000,4.931011045
0.071000000,5.064583523
0.072000000,4.823125582
0.073000000,4.365896715
0.074000000,3.939492266
0.075000000,3.728858743
0.076000000,3.888118236
0.077000000,4.371034118
0.078000000,5.033759105
0.079000000,5.639972659
0.080000000,5.979041257
0.081000000,5.927667227
0.082000000,5.506400181
0.083000000,4.859087403
0.084000000,4.227186834
0.085000000,3.836744206
0.086000000,3.790507579
0.087000000,4.088476953
0.088000000,4.561118029
0.089000000,4.977247672
0.090000000,5.126232359
0.091000000,4.889911821
0.092000000,4.273423461
0.093000000,3.461713787
0.094000000,2.650004113
0.095000000,2.100301992
0.096000000,1.905080678
0.097000000,2.048927962
0.098000000,2.377721754
0.099000000,2.660278919
0.100000000,2.691103337
0.101000000,2.331485127
0.102000000,1.612248707
0.103000000,0.702928376
0.104000000,-0.180704940
0.105000000,-0.812605509
0.106000000,-1.064338256
0.107000000,-0.971865002
0.108000000,-0.673895628
0.109000000,-0.417025478
0.110000000,-0.417025478
0.111000000,-0.766368882
0.112000000,-1.470193093
0.113000000,-2.358963812
0.114000000,-3.206635307
0.115000000,-3.776887040
0.116000000,-3.977245757
0.117000000,-3.812848861
0.118000000,-3.432681039
0.119000000,-3.083337635
0.120000000,-2.970314769
0.121000000,-3.216910113
0.122000000,-3.797436652
0.123000000,-4.562909699
0.124000000,-5.256459104
0.125000000,-5.688000956
0.126000000,-5.718825374
0.127000000,-5.384894179
0.128000000,-4.860879073
0.129000000,-4.321451758
0.130000000,-4.023482384
0.131000000,-4.085131220
0.132000000,-4.480711251
0.133000000,-5.045825581
0.134000000,-5.554428478
0.135000000,-5.790749016
0.136000000,-5.631489523
0.137000000,-5.112611820
0.138000000,-4.362550982
0.139000000,-3.643314562
0.140000000,-3.160398680
0.141000000,-3.052513217
0.142000000,-3.258009337
0.143000000,-3.648451965
0.144000000,-3.987520563
0.145000000,-4.054306802
0.146000000,-3.740925219
0.147000000,-3.067925426
0.148000000,-2.179154707
0.149000000,-1.331483212
0.150000000,-0.714994852
0.151000000,-0.483811717
0.152000000,-0.601971986
0.153000000,-0.899941360
0.154000000,-1.146536704
0.155000000,-1.141399301
0.156000000,-0.771506285
0.157000000,-0.041995059
0.158000000,0.882737481
0.159000000,1.750958588
0.160000000,2.367446948
0.161000000,2.603767486
0.162000000,2.490744620
0.163000000,2.156813425
0.164000000,1.863981454
0.165000000,1.828019633
0.166000000,2.151676022
0.167000000,2.804126203
0.168000000,3.646660295
0.169000000,4.417270745
0.170000000,4.936148448
0.171000000,5.054308717
0.172000000,4.807713373
0.173000000,4.360759312
0.174000000,3.918942654
0.175000000,3.723721340
0.176000000,3.893255639
0.177000000,4.381308924
0.178000000,5.059446120
0.179000000,5.665659674
0.180000000,5.984178660
0.181000000,5.927667227
0.182000000,5.485850569
0.183000000,4.848812597
0.184000000,4.216912028
0.185000000,3.836744206
0.186000000,3.811057191
0.187000000,4.103889162
0.188000000,4.581667641
0.189000000,4.982385075
0.190000000,5.126232359
0.191000000,4.884774418
0.192000000,4.263148655
0.193000000,3.441164175
0.194000000,2.644866710
0.195000000,2.095164589
0.196000000,1.915355484
0.197000000,2.069477574
0.198000000,2.398271366
0.199000000,2.670553725
0.200000000,2.685965934
0.201000000,2.326347724
0.202000000,1.596836498
0.203000000,0.682378764
0.204000000,-0.190979746
0.205000000,-0.802330703
0.206000000,-1.059200853
0.207000000,-0.951315390
0.208000000,-0.658483419
0.209000000,-0.401613269
0.210000000,-0.411888075
0.211000000,-0.776643688
0.212000000,-1.485605302
0.213000000,-2.379513424
0.214000000,-3.216910113
0.215000000,-3.787161846
0.216000000,-3.966970951
0.217000000,-3.797436652
0.218000000,-3.417268830
0.219000000,-3.067925426
0.220000000,-2.965177366
0.221000000,-3.222047516
0.222000000,-3.817986264
0.223000000,-4.578321908
0.224000000,-5.266733910
0.225000000,-5.688000956
0.226000000,-5.713687971
0.227000000,-5.374619373
0.228000000,-4.830054655
0.229000000,-4.306039549
0.230000000,-4.023482384
0.231000000,-4.095406026
0.232000000,-4.496123460
0.233000000,-5.066375193
0.234000000,-5.564703284
0.235000000,-5.795886419
0.236000000,-5.621214717
0.237000000,-5.092062208
0.238000000,-4.347138773
0.239000000,-3.633039756
0.240000000,-3.165536083
0.241000000,-3.057650620
0.242000000,-3.268284143
0.243000000,-3.663864174
0.244000000,-3.997795369
0.245000000,-4.059444205
0.246000000,-3.730650413
0.247000000,-3.042238411
0.248000000,-2.153467692
0.249000000,-1.310933600
0.250000000,-0.720132255
0.251000000,-0.499223926
0.252000000,-0.612246792
0.253000000,-0.915353569
0.254000000,-1.161948913
0.255000000,-1.151674107
0.256000000,-0.756094076
0.257000000,-0.021445447
0.258000000,0.893012287
0.259000000,1.766370797
0.260000000,2.367446948
0.261000000,2.598630083
0.262000000,2.475332411
0.263000000,2.146538619
0.264000000,1.858844051
0.265000000,1.822882230
0.266000000,2.151676022
0.267000000,2.819538412
0.268000000,3.651797698
0.269000000,4.437820357
0.270000000,4.931011045
0.271000000,5.038896508
0.272000000,4.792301164
0.273000000,4.335072297
0.274000000,3.903530445
0.275000000,3.728858743
0.276000000,3.898393042
0.277000000,4.401858536
0.278000000,5.069720926
0.279000000,5.670797077
0.280000000,5.984178660
0.281000000,5.912255018
0.282000000,5.465300957
0.283000000,4.828262985
0.284000000,4.201499819
0.285000000,3.826469400
0.286000000,3.811057191
0.287000000,4.119301371
0.288000000,4.597079850
0.289000000,5.002934687
0.290000000,5.126232359
0.291000000,4.869362209
0.292000000,4.252873849
0.293000000,3.420614563
0.294000000,2.634591904
0.295000000,2.095164589
0.296000000,1.925630290
0.297000000,2.079752380
0.298000000,2.413683575
0.299000000,2.685965934
0.300000000,2.691103337
0.301000000,2.305798112
0.302000000,1.581424289
0.303000000,0.661829152
0.304000000,-0.201254552
0.305000000,-0.807468106
0.306000000,-1.048926047
0.307000000,-0.941040584
0.308000000,-0.643071210
0.309000000,-0.396475866
0.310000000,-0.401613269
0.311000000,-0.776643688
0.312000000,-1.511292317
0.313000000,-2.394925633
0.314000000,-3.232322322
0.315000000,-3.782024443
0.316000000,-3.956696145
0.317000000,-3.782024443
0.318000000,-3.396719218
0.319000000,-3.062788023
0.320000000,-2.970314769
0.321000000,-3.227184919
0.322000000,-3.828261070
0.323000000,-4.588596714
0.324000000,-5.277008716
0.325000000,-5.688000956
0.326000000,-5.703413165
0.327000000,-5.354069761
0.328000000,-4.814642446
0.329000000,-4.290627340
0.330000000,-4.018344981
0.331000000,-4.100543429
0.332000000,-4.516673072
0.333000000,-5.086924805
0.334000000,-5.580115493
0.335000000,-5.795886419
0.336000000,-5.610939911
0.337000000,-5.071512596
0.338000000,-4.331726564
0.339000000,-3.622764950
0.340000000,-3.160398680
