# 2022-03-31, 15:46:51.346011
# fs = 1 Hz, N = 360
# NI 9201, 17.0.0
t,ai0
0.000000000,-2.690122440
1.000000000,-2.684981992
2.000000000,-2.695262888
3.000000000,-2.705543784
4.000000000,-2.720965128
5.000000000,-2.756948264
6.000000000,-2.787790952
7.000000000,-2.823774088
8.000000000,-2.854616776
9.000000000,-2.890599912
10.000000000,-2.936863944
11.000000000,-2.967706632
12.000000000,-3.003689768
13.000000000,-3.034532456
14.000000000,-3.065375144
15.000000000,-3.091077384
16.000000000,-3.127060520
17.000000000,-3.147622312
18.000000000,-3.178465000
19.000000000,-3.199026792
20.000000000,-3.204167240
21.000000000,-3.219588584
22.000000000,-3.245290824
23.000000000,-3.265852616
24.000000000,-3.281273960
25.000000000,-3.301835752
26.000000000,-3.312116648
27.000000000,-3.342959336
28.000000000,-3.342959336
29.000000000,-3.342959336
30.000000000,-3.358380680
31.000000000,-3.378942472
32.000000000,-3.389223368
33.000000000,-3.389223368
34.000000000,-3.404644712
35.000000000,-3.404644712
36.000000000,-3.420066056
37.000000000,-3.425206504
38.000000000,-3.430346952
39.000000000,-3.440627848
40.000000000,-3.445768296
41.000000000,-3.450908744
42.000000000,-3.450908744
43.000000000,-3.456049192
44.000000000,-3.461189640
45.000000000,-3.466330088
46.000000000,-3.461189640
47.000000000,-3.466330088
48.000000000,-3.471470536
49.000000000,-3.476610984
50.000000000,-3.481751432
51.000000000,-3.471470536
52.000000000,-3.476610984
53.000000000,-3.481751432
54.000000000,-3.476610984
55.000000000,-3.471470536
56.000000000,-3.481751432
57.000000000,-3.486891880
58.000000000,-3.492032328
59.000000000,-3.481751432
60.000000000,-3.481751432
61.000000000,-3.481751432
62.000000000,-3.486891880
63.000000000,-3.502313224
64.000000000,-3.492032328
65.000000000,-3.481751432
66.000000000,-3.486891880
67.000000000,-3.492032328
68.000000000,-3.486891880
69.000000000,-3.497172776
70.000000000,-3.497172776
71.000000000,-3.502313224
72.000000000,-3.507453672
73.000000000,-3.502313224
74.000000000,-3.497172776
75.000000000,-3.502313224
76.000000000,-3.507453672
77.000000000,-3.502313224
78.000000000,-3.507453672
79.000000000,-3.492032328
80.000000000,-3.502313224
81.000000000,-3.502313224
82.000000000,-3.502313224
83.000000000,-3.502313224
84.000000000,-3.502313224
85.000000000,-3.502313224
86.000000000,-3.507453672
87.000000000,-3.502313224
88.000000000,-3.507453672
89.000000000,-3.502313224
90.000000000,-3.502313224
91.000000000,-3.507453672
92.000000000,-3.502313224
93.000000000,-3.507453672
94.000000000,-3.502313224
95.000000000,-3.502313224
96.000000000,-3.481751432
97.000000000,-3.471470536
98.000000000,-3.466330088
99.000000000,-3.456049192
100.000000000,-3.440627848
101.000000000,-3.435487400
102.000000000,-3.425206504
103.000000000,-3.425206504
104.000000000,-3.414925608
105.000000000,-3.404644712
106.000000000,-3.394363816
107.000000000,-3.389223368
108.000000000,-3.378942472
109.000000000,-3.368661576
110.000000000,-3.363521128
111.000000000,-3.353240232
112.000000000,-3.342959336
113.000000000,-3.337818888
114.000000000,-3.322397544
115.000000000,-3.317257096
116.000000000,-3.312116648
117.000000000,-3.306976200
118.000000000,-3.296695304
119.000000000,-3.281273960
120.000000000,-3.281273960
121.000000000,-3.270993064
122.000000000,-3.270993064
123.000000000,-3.260712168
124.000000000,-3.250431272
125.000000000,-3.245290824
126.000000000,-3.235009928
127.000000000,-3.235009928
128.000000000,-3.224729032
129.000000000,-3.219588584
130.000000000,-3.214448136
131.000000000,-3.209307688
132.000000000,-3.193886344
133.000000000,-3.183605448
134.000000000,-3.183605448
135.000000000,-3.178465000
136.000000000,-3.163043656
137.000000000,-3.157903208
138.000000000,-3.163043656
139.000000000,-3.137341416
140.000000000,-3.142481864
141.000000000,-3.132200968
142.000000000,-3.132200968
143.000000000,-3.116779624
144.000000000,-3.111639176
145.000000000,-3.111639176
146.000000000,-3.106498728
147.000000000,-3.101358280
148.000000000,-3.091077384
149.000000000,-3.085936936
150.000000000,-3.091077384
151.000000000,-3.075656040
152.000000000,-3.075656040
153.000000000,-3.075656040
154.000000000,-3.065375144
155.000000000,-3.065375144
156.000000000,-3.065375144
157.000000000,-3.060234696
158.000000000,-3.055094248
159.000000000,-3.049953800
160.000000000,-3.044813352
161.000000000,-3.039672904
162.000000000,-3.034532456
163.000000000,-3.034532456
164.000000000,-3.034532456
165.000000000,-3.034532456
166.000000000,-3.029392008
167.000000000,-3.008830216
168.000000000,-3.019111112
169.000000000,-3.008830216
170.000000000,-3.008830216
171.000000000,-3.008830216
172.000000000,-3.008830216
173.000000000,-3.008830216
174.000000000,-2.993408872
175.000000000,-2.998549320
176.000000000,-2.998549320
177.000000000,-2.988268424
178.000000000,-2.993408872
179.000000000,-2.993408872
180.000000000,-2.977987528
181.000000000,-2.983127976
182.000000000,-2.977987528
183.000000000,-2.972847080
184.000000000,-2.967706632
185.000000000,-2.967706632
186.000000000,-2.967706632
187.000000000,-2.967706632
188.000000000,-2.967706632
189.000000000,-2.962566184
190.000000000,-2.957425736
191.000000000,-2.957425736
192.000000000,-2.957425736
193.000000000,-2.952285288
194.000000000,-2.947144840
195.000000000,-2.967706632
196.000000000,-2.942004392
197.000000000,-2.952285288
198.000000000,-2.942004392
199.000000000,-2.947144840
200.000000000,-2.942004392
201.000000000,-2.942004392
202.000000000,-2.936863944
203.000000000,-2.942004392
204.000000000,-2.942004392
205.000000000,-2.942004392
206.000000000,-2.936863944
207.000000000,-2.931723496
208.000000000,-2.936863944
209.000000000,-2.931723496
210.000000000,-2.931723496
211.000000000,-2.926583048
212.000000000,-2.921442600
213.000000000,-2.931723496
214.000000000,-2.921442600
215.000000000,-2.921442600
216.000000000,-2.921442600
217.000000000,-2.921442600
218.000000000,-2.921442600
219.000000000,-2.916302152
220.000000000,-2.916302152
221.000000000,-2.916302152
222.000000000,-2.911161704
223.000000000,-2.916302152
224.000000000,-2.911161704
225.000000000,-2.906021256
226.000000000,-2.911161704
227.000000000,-2.911161704
228.000000000,-2.906021256
229.000000000,-2.911161704
230.000000000,-2.906021256
231.000000000,-2.906021256
232.000000000,-2.916302152
233.000000000,-2.900880808
234.000000000,-2.900880808
235.000000000,-2.900880808
236.000000000,-2.900880808
237.000000000,-2.900880808
238.000000000,-2.895740360
239.000000000,-2.900880808
240.000000000,-2.900880808
241.000000000,-2.900880808
242.000000000,-2.895740360
243.000000000,-2.895740360
244.000000000,-2.900880808
245.000000000,-2.895740360
246.000000000,-2.895740360
247.000000000,-2.895740360
248.000000000,-2.895740360
249.000000000,-2.895740360
250.000000000,-2.890599912
251.000000000,-2.890599912
252.000000000,-2.900880808
253.000000000,-2.890599912
254.000000000,-2.890599912
255.000000000,-2.895740360
256.000000000,-2.885459464
257.000000000,-2.885459464
258.000000000,-2.890599912
259.000000000,-2.890599912
260.000000000,-2.890599912
261.000000000,-2.885459464
262.000000000,-2.890599912
263.000000000,-2.885459464
264.000000000,-2.885459464
265.000000000,-2.885459464
266.000000000,-2.885459464
267.000000000,-2.885459464
268.000000000,-2.875178568
269.000000000,-2.880319016
270.000000000,-2.880319016
271.000000000,-2.890599912
272.000000000,-2.885459464
273.000000000,-2.880319016
274.000000000,-2.880319016
275.000000000,-2.880319016
276.000000000,-2.880319016
277.000000000,-2.875178568
278.000000000,-2.880319016
279.000000000,-2.880319016
280.000000000,-2.885459464
281.000000000,-2.880319016
282.000000000,-2.885459464
283.000000000,-2.885459464
284.000000000,-2.880319016
285.000000000,-2.880319016
286.000000000,-2.875178568
287.000000000,-2.880319016
288.000000000,-2.875178568
289.000000000,-2.880319016
290.000000000,-2.870038120
291.000000000,-2.875178568
292.000000000,-2.875178568
293.000000000,-2.880319016
294.000000000,-2.885459464
295.000000000,-2.870038120
296.000000000,-2.870038120
297.000000000,-2.875178568
298.000000000,-2.870038120
299.000000000,-2.900880808
300.000000000,-2.875178568
301.000000000,-2.875178568
302.000000000,-2.875178568
303.000000000,-2.885459464
304.000000000,-2.870038120
305.000000000,-2.864897672
306.000000000,-2.870038120
307.000000000,-2.870038120
308.000000000,-2.870038120
309.000000000,-2.864897672
310.000000000,-2.870038120
311.000000000,-2.875178568
312.000000000,-2.875178568
313.000000000,-2.864897672
314.000000000,-2.875178568
315.000000000,-2.870038120
316.000000000,-2.870038120
317.000000000,-2.870038120
318.000000000,-2.864897672
319.000000000,-2.875178568
320.000000000,-2.870038120
321.000000000,-2.864897672
322.000000000,-2.870038120
323.000000000,-2.870038120
324.000000000,-2.864897672
325.000000000,-2.864897672
326.000000000,-2.859757224
327.000000000,-2.864897672
328.000000000,-2.859757224
329.000000000,-2.859757224
330.000000000,-2.875178568
331.000000000,-2.859757224
332.000000000,-2.864897672
333.000000000,-2.870038120
334.000000000,-2.870038120
335.000000000,-2.864897672
336.000000000,-2.870038120
337.000000000,-2.870038120
338.000000000,-2.864897672
339.000000000,-2.859757224
340.000000000,-2.870038120
341.000000000,-2.859757224
342.000000000,-2.859757224
343.000000000,-2.859757224
344.000000000,-2.870038120
345.000000000,-2.870038120
346.000000000,-2.864897672
347.000000000,-2.859757224
348.000000000,-2.854616776
349.000000000,-2.870038120
350.000000000,-2.870038120
351.000000000,-2.864897672
352.000000000,-2.859757224
353.000000000,-2.859757224
354.000000000,-2.859757224
355.000000000,-2.864897672
356.000000000,-2.875178568
357.000000000,-2.859757224
358.000000000,-2.859757224
359.000000000,-2.859757224
